sample_id,roi_id,pixel_x,pixel_y,production_step_length,oracle_step_length,collider_match,domain_match,normal_angle_delta,hit_distance_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_graph_agreement,epsilon_stability_class,secondary_tags,decision_risk,oracle_repeat_match,oracle_self_path_delta,oracle_self_graph_delta,comparison_confidence
oracle_px_0003_41_32,manual_roi_0,41,32,0.00625,0.001563,0,1,0,-1,2.091884,0,2738,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326765,1,0,0,high
oracle_px_0003_41_32,manual_roi_0,41,32,0.003125,0.001563,0,1,0,-1,2.089046,0,1380,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326321,1,0,0,high
oracle_px_0004_42_32,manual_roi_0,42,32,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0004_42_32,manual_roi_0,42,32,0.00625,0.001563,0,1,0,-1,2.085634,0,2739,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325788,1,0,0,high
oracle_px_0004_42_32,manual_roi_0,42,32,0.003125,0.001563,0,1,0,-1,2.085921,0,1381,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325833,1,0,0,high
oracle_px_0005_38_33,manual_roi_0,38,33,0.015,0.001563,0,1,0,-1,2.103179,0,3530,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.328529,1,0,0,high
oracle_px_0005_38_33,manual_roi_0,38,33,0.00625,0.001563,0,1,0,-1,2.098135,0,2737,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.327741,1,0,0,high
oracle_px_0005_38_33,manual_roi_0,38,33,0.003125,0.001563,0,1,0,-1,2.095296,0,1378,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.327297,1,0,0,high
oracle_px_0006_39_33,manual_roi_0,39,33,0.015,0.001563,0,1,0,-1,2.103179,0,3530,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.328529,1,0,0,high
oracle_px_0006_39_33,manual_roi_0,39,33,0.00625,0.001563,0,1,0,-1,2.091884,0,2738,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326765,1,0,0,high
oracle_px_0006_39_33,manual_roi_0,39,33,0.003125,0.001563,0,1,0,-1,2.092171,0,1379,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326809,1,0,0,high
oracle_px_0007_40_33,manual_roi_0,40,33,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0007_40_33,manual_roi_0,40,33,0.00625,0.001563,0,1,0,-1,2.085634,0,2739,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325788,1,0,0,high
oracle_px_0007_40_33,manual_roi_0,40,33,0.003125,0.001563,0,1,0,-1,2.085921,0,1381,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325833,1,0,0,high
oracle_px_0008_41_33,manual_roi_0,41,33,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0008_41_33,manual_roi_0,41,33,0.00625,0.001563,0,1,0,-1,2.085634,0,2739,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325788,1,0,0,high
oracle_px_0008_41_33,manual_roi_0,41,33,0.003125,0.001563,0,1,0,-1,2.082796,0,1382,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325345,1,0,0,high
oracle_px_0009_42_33,manual_roi_0,42,33,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0009_42_33,manual_roi_0,42,33,0.00625,0.001563,0,1,0,-1,2.079383,0,2740,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324812,1,0,0,high
oracle_px_0009_42_33,manual_roi_0,42,33,0.003125,0.001563,0,1,0,-1,2.07967,0,1383,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324857,1,0,0,high
oracle_px_0010_38_34,manual_roi_0,38,34,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0010_38_34,manual_roi_0,38,34,0.00625,0.001563,0,1,0,-1,2.091884,0,2738,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326765,1,0,0,high
oracle_px_0010_38_34,manual_roi_0,38,34,0.003125,0.001563,0,1,0,-1,2.089046,0,1380,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326321,1,0,0,high
oracle_px_0011_39_34,manual_roi_0,39,34,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0011_39_34,manual_roi_0,39,34,0.00625,0.001563,0,1,0,-1,2.085634,0,2739,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325788,1,0,0,high
oracle_px_0011_39_34,manual_roi_0,39,34,0.003125,0.001563,0,1,0,-1,2.085921,0,1381,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325833,1,0,0,high
oracle_px_0012_40_34,manual_roi_0,40,34,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0012_40_34,manual_roi_0,40,34,0.00625,0.001563,0,1,0,-1,2.079383,0,2740,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324812,1,0,0,high
oracle_px_0012_40_34,manual_roi_0,40,34,0.003125,0.001563,0,1,0,-1,2.07967,0,1383,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324857,1,0,0,high
oracle_px_0013_41_34,manual_roi_0,41,34,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0013_41_34,manual_roi_0,41,34,0.00625,0.001563,0,1,0,-1,2.079383,0,2740,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324812,1,0,0,high
oracle_px_0013_41_34,manual_roi_0,41,34,0.003125,0.001563,0,1,0,-1,2.076545,0,1384,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324368,1,0,0,high
oracle_px_0014_42_34,manual_roi_0,42,34,0.015,0.001563,0,1,0,-1,2.073178,0,3532,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323843,1,0,0,high
oracle_px_0014_42_34,manual_roi_0,42,34,0.00625,0.001563,0,1,0,-1,2.073133,0,2741,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323835,1,0,0,high
oracle_px_0014_42_34,manual_roi_0,42,34,0.003125,0.001563,0,1,0,-1,2.07342,0,1385,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.32388,1,0,0,high
oracle_px_0015_38_35,manual_roi_0,38,35,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0015_38_35,manual_roi_0,38,35,0.00625,0.001563,0,1,0,-1,2.085634,0,2739,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325788,1,0,0,high
oracle_px_0015_38_35,manual_roi_0,38,35,0.003125,0.001563,0,1,0,-1,2.082796,0,1382,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.325345,1,0,0,high
oracle_px_0016_39_35,manual_roi_0,39,35,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0016_39_35,manual_roi_0,39,35,0.00625,0.001563,0,1,0,-1,2.079383,0,2740,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324812,1,0,0,high
oracle_px_0016_39_35,manual_roi_0,39,35,0.003125,0.001563,0,1,0,-1,2.07967,0,1383,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324857,1,0,0,high
oracle_px_0017_40_35,manual_roi_0,40,35,0.015,0.001563,0,1,0,-1,2.073178,0,3532,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323843,1,0,0,high
oracle_px_0017_40_35,manual_roi_0,40,35,0.00625,0.001563,0,1,0,-1,2.073133,0,2741,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323835,1,0,0,high
oracle_px_0017_40_35,manual_roi_0,40,35,0.003125,0.001563,0,1,0,-1,2.07342,0,1385,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.32388,1,0,0,high
oracle_px_0018_41_35,manual_roi_0,41,35,0.015,0.001563,0,1,0,-1,2.073178,0,3532,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323843,1,0,0,high
oracle_px_0018_41_35,manual_roi_0,41,35,0.00625,0.001563,0,1,0,-1,2.073133,0,2741,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323835,1,0,0,high
oracle_px_0018_41_35,manual_roi_0,41,35,0.003125,0.001563,0,1,0,-1,2.070295,0,1386,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323392,1,0,0,high
oracle_px_0019_42_35,manual_roi_0,42,35,0.015,0.001563,0,1,0,-1,2.073178,0,3532,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323843,1,0,0,high
oracle_px_0019_42_35,manual_roi_0,42,35,0.00625,0.001563,0,1,0,-1,2.066883,0,2742,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.322859,1,0,0,high
oracle_px_0019_42_35,manual_roi_0,42,35,0.003125,0.001563,0,1,0,-1,2.06717,0,1387,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.322904,1,0,0,high
oracle_px_0020_38_36,manual_roi_0,38,36,0.015,0.001563,0,1,0,-1,2.088178,0,3531,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.326186,1,0,0,high
oracle_px_0020_38_36,manual_roi_0,38,36,0.00625,0.001563,0,1,0,-1,2.079383,0,2740,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324812,1,0,0,high
oracle_px_0020_38_36,manual_roi_0,38,36,0.003125,0.001563,0,1,0,-1,2.076545,0,1384,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.324368,1,0,0,high
oracle_px_0021_39_36,manual_roi_0,39,36,0.015,0.001563,0,1,0,-1,2.073178,0,3532,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323843,1,0,0,high
oracle_px_0021_39_36,manual_roi_0,39,36,0.00625,0.001563,0,1,0,-1,2.073133,0,2741,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323835,1,0,0,high
oracle_px_0021_39_36,manual_roi_0,39,36,0.003125,0.001563,0,1,0,-1,2.07342,0,1385,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.32388,1,0,0,high
oracle_px_0022_40_36,manual_roi_0,40,36,0.015,0.001563,0,1,0,-1,2.073178,0,3532,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323843,1,0,0,high
oracle_px_0022_40_36,manual_roi_0,40,36,0.00625,0.001563,0,1,0,-1,2.066883,0,2742,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.322859,1,0,0,high
oracle_px_0022_40_36,manual_roi_0,40,36,0.003125,0.001563,0,1,0,-1,2.06717,0,1387,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.322904,1,0,0,high
oracle_px_0023_41_36,manual_roi_0,41,36,0.015,0.001563,0,1,0,-1,2.073178,0,3532,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323843,1,0,0,high
oracle_px_0023_41_36,manual_roi_0,41,36,0.00625,0.001563,0,1,0,-1,2.066883,0,2742,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.322859,1,0,0,high
oracle_px_0023_41_36,manual_roi_0,41,36,0.003125,0.001563,0,1,0,-1,2.064044,0,1388,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.322416,1,0,0,high
oracle_px_0024_42_36,manual_roi_0,42,36,0.015,0.001563,0,1,0,-1,2.073178,0,3532,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.323843,1,0,0,high
oracle_px_0024_42_36,manual_roi_0,42,36,0.00625,0.001563,0,1,0,-1,2.060632,0,2743,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.321883,1,0,0,high
oracle_px_0024_42_36,manual_roi_0,42,36,0.003125,0.001563,0,1,0,-1,2.060919,0,1389,0,unresolved,trajectory_escape|phase_flip|plateau_oscillation,2.321928,1,0,0,high
