sample_id,roi_id,pixel_x,pixel_y,production_step_length,oracle_step_length,collider_match,domain_match,normal_angle_delta,hit_distance_delta,path_length_delta,boundary_event_delta,step_count_delta,ownership_graph_agreement,epsilon_stability_class,secondary_tags,decision_risk,oracle_repeat_match,oracle_self_path_delta,oracle_self_graph_delta,comparison_confidence
oracle_px_0016_43_32,manual_roi_0,43,32,0.015,0.001563,1,1,0,0.000106,0.008511,0,4862,0.998984,stable,,0.001016,1,0,0,high
oracle_px_0017_44_32,manual_roi_0,44,32,0.015,0.001563,1,1,0,0.000122,0.013197,0,4859,0.998429,unresolved,,0.001571,1,0,0,high
oracle_px_0018_36_33,manual_roi_0,36,33,0.015,0.001563,1,1,0,0.000144,0.000079,0,4876,0.999974,stable,,0.000026,1,0,0,high
oracle_px_0019_37_33,manual_roi_0,37,33,0.015,0.001563,1,1,0,0.000259,0.004766,0,4873,0.999409,stable,,0.000591,1,0,0,high
oracle_px_0020_38_33,manual_roi_0,38,33,0.015,0.001563,1,1,0,0.000395,0.00789,0,4871,0.999025,stable,,0.000975,1,0,0,high
oracle_px_0021_39_33,manual_roi_0,39,33,0.015,0.001563,1,1,0,0.000366,0.012576,0,4868,0.998476,unresolved,,0.001524,1,0,0,high
oracle_px_0022_40_33,manual_roi_0,40,33,0.015,0.001563,1,1,0,0.000461,0.002262,0,4866,0.999679,stable,,0.000321,1,0,0,high
oracle_px_0023_41_33,manual_roi_0,41,33,0.015,0.001563,1,1,0,0.000569,0.005386,0,4864,0.999298,stable,,0.000702,1,0,0,high
oracle_px_0024_42_33,manual_roi_0,42,33,0.015,0.001563,1,1,0,0.000044,0.010073,0,4861,0.998807,unresolved,,0.001193,1,0,0,high
oracle_px_0025_43_33,manual_roi_0,43,33,0.015,0.001563,1,1,0,0.00003,0.000241,0,4859,0.999968,stable,,0.000032,1,0,0,high
oracle_px_0026_44_33,manual_roi_0,44,33,0.015,0.001563,1,1,0,0.000006,0.004445,0,4856,0.999475,stable,,0.000525,1,0,0,high
oracle_px_0027_36_34,manual_roi_0,36,34,0.015,0.001563,1,1,0,0.000459,0.006328,0,4872,0.999202,stable,,0.000799,1,0,0,high
oracle_px_0028_37_34,manual_roi_0,37,34,0.015,0.001563,1,1,0,0.000012,0.011014,0,4869,0.998702,unresolved,,0.001298,1,0,0,high
oracle_px_0029_38_34,manual_roi_0,38,34,0.015,0.001563,1,1,0,0.000138,0.0007,0,4867,0.999901,stable,,0.000099,1,0,0,high
oracle_px_0030_39_34,manual_roi_0,39,34,0.015,0.001563,1,1,0,0.000112,0.003824,0,4865,0.999536,stable,,0.000464,1,0,0,high
oracle_px_0031_40_34,manual_roi_0,40,34,0.015,0.001563,1,1,0,0.000221,0.008511,0,4862,0.998971,stable,,0.00103,1,0,0,high
oracle_px_0032_41_34,manual_roi_0,41,34,0.015,0.001563,1,1,0,0.000334,0.013197,0,4859,0.998404,unresolved,,0.001596,1,0,0,high
oracle_px_0033_42_34,manual_roi_0,42,34,0.015,0.001563,1,1,0,0.000341,0.001321,0,4858,0.999804,stable,,0.000196,1,0,0,high
oracle_px_0034_43_34,manual_roi_0,43,34,0.015,0.001563,1,1,0,0.000382,0.006007,0,4855,0.999246,stable,,0.000754,1,0,0,high
oracle_px_0035_44_34,manual_roi_0,44,34,0.015,0.001563,1,1,0,0.000409,0.009131,0,4853,0.998873,stable,,0.001127,1,0,0,high
oracle_px_0036_36_35,manual_roi_0,36,35,0.015,0.001563,1,1,0,0.000172,0.012576,0,4868,0.998499,unresolved,,0.001501,1,0,0,high
oracle_px_0037_37_35,manual_roi_0,37,35,0.015,0.001563,1,1,0,0.000335,0.002262,0,4866,0.999694,stable,,0.000306,1,0,0,high
oracle_px_0038_38_35,manual_roi_0,38,35,0.015,0.001563,1,1,0,0.000457,0.005386,0,4864,0.999311,stable,,0.000689,1,0,0,high
oracle_px_0039_39_35,manual_roi_0,39,35,0.015,0.001563,1,1,0,0.000453,0.010073,0,4861,0.998759,unresolved,,0.001241,1,0,0,high
oracle_px_0040_40_35,manual_roi_0,40,35,0.015,0.001563,1,1,0,0.000546,0.000241,0,4859,0.999907,stable,,0.000093,1,0,0,high
oracle_px_0041_41_35,manual_roi_0,41,35,0.015,0.001563,1,1,0,0.000005,0.004445,0,4856,0.999475,stable,,0.000525,1,0,0,high
oracle_px_0042_42_35,manual_roi_0,42,35,0.015,0.001563,1,1,0,0.000015,0.007569,0,4854,0.999104,stable,,0.000896,1,0,0,high
oracle_px_0043_43_35,manual_roi_0,43,35,0.015,0.001563,1,1,0,0.000114,0.012256,0,4851,0.998538,unresolved,,0.001462,1,0,0,high
oracle_px_0044_44_35,manual_roi_0,44,35,0.015,0.001563,1,1,0,0.000153,0.001942,0,4849,0.999752,stable,,0.000248,1,0,0,high
oracle_px_0045_36_36,manual_roi_0,36,36,0.015,0.001563,1,1,0,0.000408,0.003824,0,4865,0.999501,stable,,0.000499,1,0,0,high
oracle_px_0046_37_36,manual_roi_0,37,36,0.015,0.001563,1,1,0,0.000559,0.006948,0,4863,0.999115,stable,,0.000885,1,0,0,high
oracle_px_0047_38_36,manual_roi_0,38,36,0.015,0.001563,1,1,0,0.000076,0.011635,0,4860,0.998619,unresolved,,0.001381,1,0,0,high
oracle_px_0048_39_36,manual_roi_0,39,36,0.015,0.001563,1,1,0,0.000071,0.001321,0,4858,0.999836,stable,,0.000164,1,0,0,high
oracle_px_0049_40_36,manual_roi_0,40,36,0.015,0.001563,1,1,0,0.000171,0.006007,0,4855,0.999271,stable,,0.000729,1,0,0,high
oracle_px_0050_41_36,manual_roi_0,41,36,0.015,0.001563,1,1,0,0.000286,0.009131,0,4853,0.998888,stable,,0.001112,1,0,0,high
oracle_px_0051_42_36,manual_roi_0,42,36,0.015,0.001563,1,1,0,0.000346,0.013818,0,4850,0.998326,unresolved,,0.001674,1,0,0,high
oracle_px_0052_43_36,manual_roi_0,43,36,0.015,0.001563,1,1,0,0.00042,0.003504,0,4848,0.999536,stable,,0.000464,1,0,0,high
oracle_px_0053_44_36,manual_roi_0,44,36,0.015,0.001563,1,1,0,0.000449,0.006628,0,4846,0.999163,stable,,0.000837,1,0,0,high
oracle_px_0054_36_37,manual_roi_0,36,37,0.015,0.001563,1,1,0,0.00001,0.010073,0,4861,0.998811,unresolved,,0.001189,1,0,0,high
oracle_px_0055_37_37,manual_roi_0,37,37,0.015,0.001563,1,1,0,0.000093,0.013197,0,4859,0.998432,unresolved,,0.001568,1,0,0,high
oracle_px_0056_38_37,manual_roi_0,38,37,0.015,0.001563,1,1,0,0.000292,0.002883,0,4857,0.999625,stable,,0.000375,1,0,0,high
oracle_px_0057_39_37,manual_roi_0,39,37,0.015,0.001563,1,1,0,0.000395,0.007569,0,4854,0.999059,stable,,0.000941,1,0,0,high
oracle_px_0058_40_37,manual_roi_0,40,37,0.015,0.001563,1,1,0,0.000401,0.010694,0,4852,0.998689,unresolved,,0.001311,1,0,0,high
oracle_px_0059_41_37,manual_roi_0,41,37,0.015,0.001563,1,1,0,0.00048,0.00038,0,4850,0.999898,stable,,0.000102,1,0,0,high
oracle_px_0060_42_37,manual_roi_0,42,37,0.015,0.001563,1,1,0,0.000541,0.005066,0,4847,0.999337,stable,,0.000663,1,0,0,high
oracle_px_0061_43_37,manual_roi_0,43,37,0.015,0.001563,1,1,0,0.000018,0.009752,0,4844,0.998844,stable,,0.001156,1,0,0,high
oracle_px_0062_44_37,manual_roi_0,44,37,0.015,0.001563,1,1,0,0.000031,0.012877,0,4842,0.998472,unresolved,,0.001528,1,0,0,high
oracle_px_0063_36_38,manual_roi_0,36,38,0.015,0.001563,1,1,0,0.000122,0.000241,0,4859,0.999957,stable,,0.000043,1,0,0,high
